time,1,2,3,4,5,6,7
194,96,247,148,194,104,254,88
195,185,160,14,210,0,217,47
196,207,33,233,90,96,187,202
197,215,109,199,117,102,228,33
198,177,113,141,222,78,67,87
199,167,206,64,145,72,11,56
200,252,180,241,151,200,20,175
201,138,205,5,228,43,92,34
202,80,111,80,8,163,70,180
203,24,117,130,198,79,113,175
204,235,229,248,67,66,241,118
205,125,48,207,130,42,221,232
206,151,127,3,80,15,235,67
207,56,7,0,186,185,152,85
208,12,21,0,183,189,160,116
209,202,88,91,106,9,213,103
210,18,94,183,176,4,243,10
211,137,137,247,125,19,177,204
212,109,23,128,115,138,187,27
213,113,63,190,165,229,53,76
214,77,227,42,66,232,2,73
215,71,130,53,245,180,182,141
216,179,231,134,22,14,198,74
217,250,91,148,39,219,213,82
218,140,177,19,50,8,154,198
219,119,246,234,87,218,217,46
220,166,18,126,113,161,74,110
221,42,103,25,85,121,251,19
222,191,30,129,251,162,69,244
223,214,82,204,195,248,37,200
224,177,149,50,127,160,35,131
225,184,232,139,19,206,105,69
226,206,58,249,82,46,160,180
227,131,239,113,8,146,37,149
228,249,76,244,140,209,205,151
229,24,54,14,153,41,254,194
230,227,200,225,174,16,38,58
231,1,214,85,219,230,30,130
232,212,73,149,218,188,41,244
233,32,101,80,23,47,95,47
234,229,203,73,55,150,62,116
235,113,111,153,97,98,87,54
236,220,94,56,173,23,17,171
237,39,58,36,200,2,198,94
238,145,13,232,139,176,81,181
239,121,180,59,54,203,189,100
240,34,156,145,112,205,205,202
241,197,63,227,100,222,116,121
242,154,62,104,57,81,39,2
243,98,52,150,43,151,156,21
244,54,71,178,157,133,151,153
245,77,15,106,102,48,37,232
246,157,238,225,45,53,141,245
247,171,143,201,53,231,126,150
248,84,176,1,55,208,191,86
249,247,174,96,49,169,18,130
250,195,83,169,13,98,49,93
251,71,102,36,246,54,114,37
252,29,184,157,183,137,136,203
253,33,237,161,252,200,95,31
254,171,75,13,56,198,192,82
255,138,63,71,214,130,254,62
256,50,158,104,136,228,121,161
257,206,166,56,243,181,20,51
258,150,68,54,240,131,81,140
259,18,105,49,173,168,3,187
260,134,234,20,67,212,10,83
261,12,201,146,121,186,255,172
262,189,250,198,203,199,237,172
263,247,162,183,172,74,12,173
264,132,45,130,246,107,216,172
265,131,0,140,36,153,48,173
266,40,201,151,234,176,154,172
267,109,48,191,60,131,153,173
268,198,46,159,176,65,232,171
269,177,135,188,187,158,200,174
270,18,238,103,128,78,228,169
271,184,129,76,96,205,51,178
272,186,110,112,101,238,14,164
273,82,226,138,176,91,14,188
274,189,215,194,243,76,32,147
275,79,27,83,166,30,79,216
276,97,242,232,142,236,154,97
277,108,71,97,208,147,247,39
278,245,87,85,76,202,55,206
279,146,68,14,166,126,213,250
280,245,62,223,255,235,184,16
281,25,7,55,240,1,157,137
282,255,134,39,41,211,157,234
283,42,154,135,141,215,234,153
284,141,246,75,0,231,115,231
285,3,202,105,79,114,41,246
286,103,28,171,32,52,208,148
287,63,101,175,133,221,165,85
288,29,138,164,113,249,76,133
289,239,227,48,221,77,231,96
290,196,252,72,78,103,58,28
291,228,99,205,151,136,20,204
292,87,142,25,8,192,167,29
293,227,21,246,227,247,170,79
294,90,134,135,228,62,186,67
295,68,53,220,6,25,41,152
296,141,230,174,243,74,86,62
297,224,112,114,128,161,34,113
298,89,169,96,5,229,60,193
299,60,60,148,28,87,162,63
300,18,5,207,245,83,170,139
301,173,50,208,86,3,152,228
302,54,132,235,234,123,159,75
303,163,145,95,47,60,232,73
304,69,7,185,230,3,240,139
305,24,155,73,249,83,222,76
306,188,192,3,238,67,180,77
307,188,200,62,242,134,88,199
308,93,144,136,58,192,132,44
309,144,89,41,57,70,43,106
310,39,221,188,89,35,130,26
311,117,83,67,49,191,236,231
312,86,29,144,70,122,225,216
313,193,34,239,114,127,225,93
314,28,68,217,126,245,55,94
315,186,129,189,231,223,31,108
316,140,201,236,156,77,118,67
317,105,191,47,245,197,174,100
318,211,172,143,241,157,164,195
319,191,138,190,213,106,29,56
320,84,228,174,90,113,145,126
321,183,38,176,136,125,234,249
322,187,128,228,218,110,210,36
323,113,126,236,19,72,175,131
324,222,66,227,212,167,81,22
325,236,208,230,175,172,231,202
326,156,161,58,251,99,100,10
327,151,157,97,110,14,79,150
328,116,37,163,197,165,21,196
329,14,81,58,129,225,159,97
330,166,9,8,69,174,98,92
331,92,121,175,86,98,213,130
332,149,239,69,138,242,200,198
333,131,122,75,240,201,215,201
334,25,58,242,73,33,175,36
335,172,255,199,246,253,63,92
336,99,159,168,67,220,80,48
337,173,56,245,128,95,27,190
338,137,90,115,249,39,129,15
339,81,221,17,69,137,186,224
340,169,80,84,4,253,45,159
341,242,28,71,230,238,252,168
342,57,123,116,16,136,110,56
343,31,136,118,71,23,83,174
344,209,218,238,175,120,76,35
345,242,4,2,140,210,11,178
346,244,63,52,151,18,42,176
347,151,91,254,76,221,181,116
348,35,199,238,25,184,53,229
349,253,75,220,210,114,131,74
350,217,165,73,12,219,152,75
351,254,26,235,223,61,149,136
352,145,16,181,36,52,207,80
353,202,149,68,230,138,7,68
354,251,40,14,188,146,158,200
355,136,130,79,122,44,134,40
356,109,115,188,206,15,22,99
357,48,237,53,19,41,166,37
358,71,162,131,166,55,171,210
359,40,178,240,192,111,10,245
360,19,213,200,42,228,8,30
361,222,213,79,111,225,228,130
362,236,5,231,12,100,228,254
363,227,133,179,92,53,118,182
364,8,37,9,67,223,248,169
365,62,33,226,236,245,227,40
366,3,8,174,36,90,158,6
367,201,110,229,77,37,21,230
368,106,64,5,193,252,233,192
369,89,237,111,119,225,211,112
370,203,234,149,244,255,0,53
371,200,6,211,109,79,1,255
372,178,194,94,134,138,25,7
373,55,236,82,167,84,69,142
374,77,79,23,218,173,131,220
375,76,103,77,208,78,160,133
376,242,148,2,11,10,67,18
377,209,218,181,191,119,206,206
378,252,160,218,244,6,237,255
379,183,0,103,228,210,144,145
380,75,240,0,149,171,131,210
381,74,111,91,126,12,5,119
382,106,110,135,253,10,158,48
383,233,192,60,30,209,228,176
384,173,46,171,6,133,119,79
385,204,232,166,69,35,166,176
386,202,106,220,43,11,54,115
387,151,255,38,149,15,192,226
388,239,149,120,24,113,240,78
389,176,84,10,133,198,215,68
390,253,170,217,138,164,245,149
391,203,146,58,9,67,249,64
392,18,20,176,77,36,188,106
393,109,199,252,248,81,130,194
394,204,17,17,1,77,169,59
395,74,122,117,248,19,194,132
396,17,94,188,205,153,224,239
397,48,228,36,107,45,49,55
398,88,198,241,11,87,171,104
399,146,164,168,99,185,16,78
400,3,74,4,240,216,72,146
401,129,4,222,29,200,47,159
402,109,130,94,139,85,85,196
403,214,190,180,126,116,244,53
404,202,200,133,84,113,201,122
405,10,238,86,75,161,3,0
406,173,72,198,100,226,146,25
407,195,139,224,214,244,236,147
408,162,67,245,64,210,43,244
409,52,24,141,99,181,208,234
410,146,221,178,78,115,251,179
411,186,210,170,100,197,56,105
412,96,212,212,147,191,155,75
413,86,35,106,97,33,190,27
414,6,95,77,230,35,243,195
415,40,201,65,48,167,29,170
416,230,95,192,200,19,99,135
417,194,115,126,152,41,130,3
418,188,249,171,36,39,25,19
419,228,192,10,22,244,43,157
420,17,77,196,236,135,132,224
421,68,222,178,15,207,57,252
422,216,76,75,136,124,15,132
423,40,139,232,83,238,102,74
424,129,78,241,65,62,34,166
425,28,43,27,26,29,148,133
426,51,83,207,10,10,200,191
427,121,198,16,85,30,19,201
428,191,196,115,152,120,24,39
429,52,94,29,93,208,139,96
430,98,40,152,76,74,159,41
431,0,83,53,124,177,8,203
432,242,183,48,247,201,244,254
433,121,32,132,65,121,54,7
434,123,239,185,71,147,55,142
435,232,145,74,153,98,173,220
436,60,217,109,182,215,220,133
437,133,30,21,75,108,196,17
438,181,191,154,102,181,71,207
439,219,197,243,169,78,167,254
440,84,92,225,167,194,249,144
441,64,82,211,163,132,78,212
442,156,250,166,233,169,166,121
443,111,255,4,218,104,45,43
444,64,194,217,221,122,96,182
445,175,164,79,67,2,2,65
446,214,101,94,13,67,217,171
447,194,244,223,201,7,11,130
448,86,183,113,75,74,231,250
449,61,86,61,118,78,1,35
450,76,113,165,200,210,82,134
451,33,146,197,172,147,205,16
452,153,156,189,244,191,51,208
453,204,210,94,89,223,44,252
454,245,44,230,228,94,209,143
455,32,2,64,209,81,210,215
456,219,39,104,89,79,203,126
457,83,35,55,250,31,130,32
458,205,62,114,224,166,249,192
459,70,174,54,182,220,231,36
460,71,137,53,54,68,112,161
461,18,235,238,226,186,16,162
462,159,131,8,151,237,177,45
463,14,248,240,33,147,45,195
464,213,69,42,193,127,12,9
465,82,208,204,255,245,204,239
466,160,207,123,200,235,218,152
467,149,248,132,15,53,82,188
468,43,132,126,239,60,245,85
469,53,235,61,159,65,231,115
470,124,16,127,62,146,167,104
471,78,61,1,222,129,228,8
472,168,166,9,91,131,186,204
473,9,143,215,243,220,157,27
474,145,100,163,34,122,0,76
475,53,226,7,94,95,84,73
476,100,170,204,28,58,21,141
477,39,187,230,197,172,132,75
478,110,249,122,51,43,3,81
479,167,48,168,225,26,223,198
480,61,254,221,255,95,1,46
481,172,99,186,241,77,204,108
482,245,86,112,240,157,89,22
483,69,0,190,231,23,205,239
484,121,157,70,251,38,61,206
485,212,234,99,108,197,162,117
486,17,144,192,0,112,177,78
487,15,187,80,126,248,161,153
488,53,52,235,162,35,216,119
489,173,6,205,58,157,175,226
490,196,141,136,150,21,6,204
491,26,130,71,103,44,213,29
492,72,200,7,130,143,252,79
493,204,246,64,238,68,61,67
494,253,237,139,129,138,31,153
495,207,195,122,15,95,46,61
496,201,208,64,148,247,239,115
497,30,61,86,136,117,168,192
498,209,3,218,215,253,113,65
499,227,0,124,102,5,206,142
500,219,240,153,84,209,111,223
501,18,90,212,15,84,226,84
502,113,61,246,8,241,182,59
503,77,27,203,162,40,232,167
504,226,165,92,93,22,56,43
505,9,133,168,0,38,43,159
506,56,182,165,227,42,234,181
507,241,18,115,25,163,228,98
508,215,185,159,239,201,183,199
509,52,255,254,60,68,220,126
510,247,254,36,15,139,113,249
511,42,36,25,228,205,176,37
512,57,247,47,32,198,107,130
513,133,100,185,119,189,244,24
514,66,184,157,107,100,90,200
515,55,122,144,233,19,57,17
516,85,185,122,228,51,76,153
517,242,54,177,168,133,248,186
518,78,122,184,41,233,234,83
519,83,152,47,195,182,253,119
520,35,145,186,55,156,0,100
521,36,221,197,82,199,130,20
522,134,242,250,165,131,107,204
523,143,199,176,67,72,150,28
524,47,253,121,187,112,191,77
525,18,118,107,104,34,170,70
526,121,4,95,178,27,92,146
527,25,104,224,130,89,68,69
528,231,177,75,45,57,73,96
529,114,72,220,163,225,108,196
530,51,166,27,215,193,170,53
531,1,124,12,46,68,72,122
532,124,150,146,116,117,211,0
533,13,45,214,80,62,18,24
534,87,117,94,34,229,19,150
535,47,41,127,185,70,156,239
536,153,37,163,61,237,234,238
537,197,95,145,247,101,189,168
538,80,220,159,119,46,93,98
539,143,149,106,40,94,230,95
540,41,215,136,235,224,192,52
541,144,192,102,137,55,75,136
542,134,214,5,88,25,5,188
543,219,109,173,227,55,233,79
544,23,174,19,166,190,170,167
545,139,87,84,11,190,247,181
546,38,39,86,240,216,155,157
547,88,131,247,98,253,224,198
548,202,214,60,15,164,83,128
549,133,94,91,130,46,18,247
550,95,111,48,87,237,11,42
551,249,253,47,122,56,16,124
552,138,38,86,109,219,45,38
553,151,0,190,253,25,94,187
554,114,29,94,74,201,204,51
555,34,57,160,55,55,34,167
556,126,238,67,97,49,146,144
557,155,4,20,0,38,45,18
558,5,187,83,255,223,172,247
559,208,27,215,255,232,124,195
560,118,179,249,184,44,109,141
561,42,57,226,100,95,31,62
562,228,14,209,97,76,185,201
563,224,70,43,42,41,34,171
564,146,110,2,169,67,153,94
565,59,76,202,27,166,68,181
566,103,101,234,210,64,230,100
567,112,89,3,108,72,17,203
568,64,184,241,203,127,254,120
569,141,11,22,171,122,229,2
570,177,169,9,109,236,59,20
571,87,7,100,159,45,142,155
572,162,173,81,86,231,246,227
573,90,18,163,189,13,57,249
574,240,54,178,112,116,93,140
575,27,36,63,4,71,10,80
576,37,64,96,43,152,179,149
577,103,91,111,25,140,119,115
578,185,208,134,125,45,189,237
579,140,146,185,171,175,127,204
580,130,13,122,151,218,86,28
581,78,32,208,5,92,77,77
582,247,102,67,89,102,88,71
583,81,171,122,196,92,3,145
584,230,14,108,74,250,221,70
585,63,223,230,246,26,98,92
586,160,129,143,236,40,23,197
587,158,128,54,153,180,149,51
588,109,93,170,21,205,160,118
589,131,94,157,247,253,176,6
590,124,240,248,232,53,46,13
591,97,176,102,212,27,142,165
592,59,243,111,0,124,144,206
593,83,142,56,113,52,133,11
594,236,180,158,144,221,130,89
595,155,89,18,186,106,143,43
596,126,164,19,115,159,1,255
597,68,123,251,9,121,20,223
598,157,217,84,52,96,249,211
599,19,23,4,167,181,124,123
600,76,142,17,115,251,37,21
601,250,79,164,20,121,240,212
602,165,24,78,253,234,179,102
603,121,36,38,217,100,146,88
604,251,57,237,192,1,186,124
605,66,243,153,124,100,1,87
606,28,191,70,151,7,195,52
607,200,139,123,45,11,73,202
608,96,217,180,219,128,75,35
609,193,26,170,160,52,197,89
610,125,24,121,249,255,41,52
611,122,164,144,193,114,163,182
612,217,255,8,169,114,237,24
613,146,5,142,216,1,152,202
614,108,102,163,218,81,185,167
615,152,102,195,50,44,193,142
616,3,102,189,62,142,73,15
617,252,32,139,119,122,27,253
618,236,43,217,235,137,1,188
619,57,166,224,114,33,220,157
620,114,239,18,133,76,20,50
621,146,5,29,121,79,93,236
622,212,179,76,43,39,125,205
623,164,58,208,0,178,118,3
624,210,110,54,28,236,48,147
625,186,9,178,83,245,146,205
626,37,186,186,15,176,188,111
627,254,128,86,94,187,155,63
628,6,31,29,240,231,129,161
629,203,254,148,223,80,192,119
630,137,13,16,53,240,7,188
631,74,66,142,238,95,224,79
632,66,127,246,26,169,155,167
633,128,120,20,114,61,17,182
634,252,150,101,178,21,112,157
635,41,72,107,49,42,42,199
636,58,187,244,180,204,211,127
637,32,115,74,119,36,225,247
638,65,70,113,180,60,144,40
639,222,95,202,202,95,59,126
640,46,44,32,248,77,173,33
641,80,209,52,22,6,211,191
642,14,201,91,252,153,247,39
643,73,42,222,134,82,164,162
644,25,181,164,36,177,95,158
645,211,107,79,90,40,239,39
646,124,34,154,121,249,71,206
647,76,110,111,98,126,192,250
648,220,25,202,8,74,233,16
649,157,207,144,14,43,133,137
650,171,107,167,109,231,229,234
651,50,228,2,60,158,81,154
652,100,223,65,102,38,153,230
653,180,240,54,31,236,233,246
654,117,65,133,159,95,189,146
655,15,236,163,104,145,72,84
656,111,7,129,119,228,75,137
657,56,118,220,168,144,120,101
658,46,190,66,12,246,216,16
659,21,0,4,145,41,139,204
660,142,130,194,99,196,50,28
661,196,0,130,40,113,12,77
662,11,113,89,41,134,187,71
663,212,145,103,208,43,63,144
664,111,22,98,222,183,198,71
665,132,192,136,82,231,41,90
666,215,83,243,249,218,116,197
667,151,39,190,158,78,112,50
668,1,91,116,192,13,157,116
669,22,13,1,232,47,234,9
670,153,2,204,160,56,43,7
671,172,68,43,3,191,1,174
672,226,57,233,128,24,86,188
673,236,88,15,38,3,116,26
674,144,52,41,168,113,143,47
675,76,119,228,161,51,243,9
676,120,124,120,144,56,230,93
677,142,226,107,170,103,228,46
678,13,12,244,175,226,124,245
679,31,197,246,38,42,45,214
680,247,99,196,27,144,20,236
681,43,234,67,19,90,7,136
682,98,205,180,194,202,103,239
683,220,101,90,16,238,185,160
684,71,76,133,35,195,235,216
685,202,74,114,227,194,196,2
686,199,128,235,206,3,233,113
687,43,124,60,137,88,165,61
688,140,175,241,203,144,25,203
689,250,201,212,210,28,138,172
690,10,74,6,66,33,233,90
691,75,72,215,13,51,46,180
692,246,51,144,126,221,69,104
693,128,134,229,9,232,174,208
694,55,188,74,55,21,29,111
695,154,48,131,142,97,173,18
696,6,136,252,42,96,187,246
697,241,242,109,16,39,200,196
698,151,165,183,130,0,147,138
699,138,233,34,164,194,41,64
700,158,147,15,151,20,212,195
701,110,95,215,85,27,18,165
702,246,241,114,132,191,117,110
703,185,0,107,4,124,170,185
704,43,180,62,31,228,60,87
705,154,99,33,146,136,29,180
706,144,79,5,66,234,200,160
707,152,171,172,201,2,143,193
708,164,170,199,37,52,152,137
709,214,76,166,28,85,252,231
710,193,17,110,5,109,129,69
711,109,46,165,127,114,50,83
712,22,105,160,85,209,110,121
713,92,119,213,162,177,90,98
714,250,232,248,21,15,158,24
715,113,129,29,148,168,64,204
716,39,64,102,22,7,29,29
717,242,108,134,55,178,177,78
718,252,62,13,3,197,55,69
719,207,90,196,248,20,56,149
720,29,64,141,208,213,219,65
721,162,82,251,230,105,149,104
722,129,168,197,162,114,235,194
723,86,107,79,14,151,96,58
724,24,41,133,50,3,133,130
725,174,7,29,155,4,132,243
726,180,26,188,228,31,142,48
727,209,145,21,137,1,128,114
728,99,160,20,113,164,238,57
729,119,175,45,112,140,97,167
730,47,88,97,59,108,108,104
731,43,170,165,128,187,11,184
732,251,33,181,134,87,70,92
733,127,181,242,103,236,157,188
734,255,111,136,54,65,40,146
735,132,223,178,115,255,232,217
736,107,15,95,172,114,193,94
737,0,142,89,86,123,106,44
738,28,39,87,20,1,166,197
739,149,112,98,217,21,227,5
740,71,86,135,142,166,39,247
741,59,91,53,254,196,158,149
742,90,225,101,248,154,46,198
743,169,242,61,12,4,194,100
744,83,102,50,122,252,6,86
745,205,100,152,188,83,189,137
746,225,243,206,189,169,35,181
747,85,16,151,182,216,188,199
748,210,56,229,10,51,74,43
749,111,126,176,208,77,254,103
750,90,67,17,2,172,240,29
751,147,28,59,115,169,102,225
752,117,194,244,225,60,156,225
753,148,104,130,209,238,61,74
754,11,11,36,212,188,72,106
755,105,249,177,117,20,117,72
756,231,46,124,62,197,202,23
757,141,222,223,194,253,68,205
758,228,128,92,68,243,188,166
759,232,136,188,211,190,201,145
760,181,39,106,233,205,27,20
761,68,180,31,147,167,8,244
762,65,142,149,116,71,121,200
763,199,114,185,51,92,107,130
764,155,146,254,182,144,234,69
765,76,223,153,89,170,42,179
766,34,48,81,141,182,152,147
767,145,241,76,51,238,205,155
768,179,140,213,209,62,187,195
769,75,230,87,156,159,214,55
770,137,242,105,47,162,21,126
771,215,43,62,64,136,178,250
772,250,160,61,197,105,98,35
773,44,180,224,212,233,197,133
774,153,73,55,174,98,244,17
775,66,49,138,176,203,25,207
776,28,233,35,193,170,34,255
777,79,175,149,133,15,51,145
778,231,143,168,132,125,160,211
779,1,168,18,24,91,167,120
780,163,171,179,83,156,61,45
781,121,28,160,229,180,77,180
782,25,172,193,241,79,123,70
783,47,25,165,205,219,181,173
784,127,41,178,104,180,75,124
785,180,38,177,182,95,151,241
786,173,158,40,99,140,17,52
787,216,121,176,75,77,78,109
788,53,49,171,68,107,151,68
789,37,122,15,240,141,77,156
790,199,125,244,97,224,71,133
791,210,146,19,53,44,50,191
792,8,149,210,235,106,2,70
793,63,49,191,83,164,176,150
794,186,92,15,20,206,103,210
795,61,86,45,172,108,18,108
796,142,123,53,155,240,127,23
797,123,183,146,238,103,160,237
798,84,95,51,184,43,48,209
799,184,246,48,234,167,18,111
800,252,204,172,19,153,21,83
801,151,173,23,230,36,206,140
802,93,205,100,45,60,117,105
803,51,216,38,255,223,225,6
804,56,96,191,181,216,193,204
805,167,39,232,221,204,134,27
806,239,176,200,171,245,214,75
807,194,198,157,45,172,147,73
808,228,63,187,198,184,151,140
809,143,45,166,128,179,24,76
810,13,80,227,179,149,152,79
811,184,51,166,128,181,19,199
812,180,236,135,54,125,92,45
813,159,245,132,201,223,168,107
814,80,32,6,198,245,38,24
815,237,93,245,176,58,100,236
816,201,9,166,156,4,220,210
817,166,167,34,23,204,88,107
818,162,142,200,238,244,138,85
819,89,14,14,136,206,155,133
820,154,43,190,94,173,65,97
821,59,87,152,189,144,89,27
822,201,5,70,78,210,31,204
823,225,196,19,135,67,132,29
824,16,43,194,34,55,107,79
825,126,32,102,85,221,27,68
826,234,233,81,74,134,104,151
827,58,65,66,250,58,61,63
828,200,210,159,32,100,242,110
829,79,107,20,20,76,174,193
830,8,186,221,60,3,64,62
831,111,105,47,32,29,67,137
832,160,46,65,108,133,135,232
833,111,94,150,169,229,133,68
834,166,72,118,21,206,174,84
835,36,157,71,145,121,117,118
836,226,113,189,23,235,191,101
837,29,134,251,176,219,38,16
838,35,168,129,175,120,144,204
839,120,243,111,144,18,34,28
840,110,3,86,14,104,238,76
841,78,205,213,74,96,233,71
842,251,150,219,43,101,228,143
843,53,19,52,53,80,50,72
844,43,73,167,204,24,35,89
845,11,40,241,207,107,159,197
846,180,186,18,1,255,234,49
847,213,245,100,121,131,178,115
848,48,58,183,128,212,96,11
849,178,18,39,250,236,110,4
850,64,67,227,221,190,212,177
851,68,73,242,134,204,11,180
852,87,34,28,56,206,11,33
853,182,203,62,162,26,233,28
854,55,12,211,218,188,252,249
855,225,36,249,67,177,64,138
856,75,57,178,254,43,158,78
857,36,48,54,170,43,218,153
858,50,89,154,177,129,22,120
859,118,71,243,78,223,17,226
860,227,160,86,125,164,253,203
861,157,183,129,246,181,239,29
862,93,69,241,205,56,44,80
863,200,71,67,104,62,244,66
864,28,238,129,132,125,175,153
865,64,35,133,190,82,129,60
866,62,224,135,160,41,147,117
867,208,100,182,25,9,80,192
868,158,255,156,205,29,134,66
869,250,165,76,98,239,171,144
870,185,16,230,18,155,92,220
871,202,237,116,13,44,98,90
872,146,99,130,40,170,54,51
